Anomalous,Cluster,Day,Month,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
0,0,Nan,Nan,0.17983928,0.176907302,0.261879395,0.530430923,0.56884435,0.583359015,0.570897428,0.572566569,0.574739483,0.575864598,0.574639437,0.568307148,0.574419557,0.605417095,0.862443384,1,1,1,0.99999814,0.786044806,0.502948756,0,0.225236662,1
0,0,Nan,Nan,0.180574562,0.179892509,0.256693593,0.525186414,0.685648935,0.71870282,0.572358174,0.575399752,0.577942536,0.576813955,0.574678851,0.569854971,0.571033393,0.616397234,0.859864441,0.999388814,1,1,1,0.771960941,0.467240544,0,0.287481128,1
0,0,Nan,Nan,0,0.002846511,0.04770818,0.308050857,0.455801844,0.480340836,0.482247398,0.474028578,0.473959875,0.482325607,0.48272462,0.483948252,0.481917624,0.474112083,0.719456953,0.994397835,1,1,1,0.942952508,0.384364509,0.432721011,0.133182796,1
0,2,Nan,Nan,0.878426482,0.28497202,0.18302049,0.180943262,0.167782193,0.292808827,0.524989584,0.598001322,0.771846083,0.878426482,0.759664807,0.581388908,0.581179153,0.732022068,0.78725489,1,0.770249745,0.821738233,0.587945089,0.478263436,0,0.233919283,0.183224426,1
0,0,Nan,Nan,0.00524288,0.004051995,0.109020528,0.424477671,0.738044949,0.720471122,0.468338782,0.478744131,0.482367864,0.483963842,0.482867039,0.481522489,0.483160314,0.514899014,0.82802586,0.999916626,1,1,0.998788201,0.743226522,0.362897847,0.134527357,0,1
0,0,Nan,Nan,0.000743113,0,0.084491938,0.442996899,0.540583891,0.631849471,0.465993375,0.474994645,0.477862199,0.48245445,0.48078883,0.480164505,0.461260009,0.458625084,0.794922602,0.999460379,1,1,1,0.895517301,0.520005529,0.481645034,0.131047299,1
0,0,Nan,Nan,0.000305836,0,0.079834525,0.361607828,0.472601784,0.468312398,0.478535364,0.478630472,0.476164513,0.476619017,0.47674437,0.478132682,0.43325914,0.45930262,0.762875752,0.956478495,1,1,1,0.996019299,0.691078191,0.379043535,0.131477959,1
0,0,Nan,Nan,0.00010854,0,0.050340483,0.310792826,0.478736494,0.481181526,0.479523631,0.463441556,0.453578555,0.474926286,0.479338669,0.449333077,0.462592593,0.385964306,0.653191839,0.832299548,1,1,1,1,0.821527463,0.414537284,0.32618521,1
0,1,Nan,Nan,0.175199058,0.181902056,0.1898042,0,0.521752178,0.566547682,0.555732934,0.574962256,0.574962256,0.574224249,0.552652708,0.559883062,0.574962256,0.446897367,0.590221802,0.770099773,0.862443384,0.990154421,1,1,1,1,0.996385319,1
0,1,Nan,Nan,0.431400578,0.238821938,0.17975217,0.17698985,0.175219461,0,0.574962256,0.543745376,0.569707919,0.575274538,0.570221922,0.568732906,0.563272398,0.548712045,0.717321,0.862656299,0.960766835,0.865348252,0.997737481,1,1,1,1,1
1,1,Nan,Nan,0.337388818,0.246986981,0.212757202,0.212298763,0.206398868,0.19085007,0.173638051,0,0,0,0,0,0,0,0.674777636,0.661221942,0.664379631,0.671959424,0.676956632,0.67614183,0.676936619,1,0.844504163,1
0,2,Nan,Nan,0.72538107,0,0.19995911,0.163593004,0.179634716,0,0.51091131,0.727663209,0.776976255,0.782281189,0.745642548,0.73067645,0.730550588,0.735490919,0.859954411,1,0.863216108,0.761775827,0.556495995,0.50800171,0,0.292183161,0.221250613,1
0,0,Nan,Nan,0.004342727,0,0.122500807,0.48847502,0.475726402,0.554029159,0.46885431,0.482452257,0.483619173,0.48368704,0.482398173,0.484741393,0.480170616,0.538329191,0.796480552,0.996788596,0.999793671,1,0.995230914,0.705451008,0.350975875,0.134179407,0.031905155,1
0,0,Nan,Nan,0.180319411,0.179168499,0.259333915,0.52106505,0.57255418,0.583204728,0.5703346,0.575489991,0.575716997,0.576642942,0.57845644,0.577191773,0.569832438,0.569977037,0.789099342,0.994805972,1,1,1,0.787587617,0.476512033,0,0.211552984,1
0,0,Nan,Nan,0.18099954,0.179382841,0.255146255,0.4979794,0.570547863,0.572334931,0.575869687,0.573786903,0.568613667,0.566362444,0.57004032,0.571208749,0.516092939,0.498962506,0.782220148,0.926586185,0.999994921,1,1,0.996363151,0.704785337,0,0.287322154,1
0,0,Nan,Nan,0.180657633,0.179503759,0.249022603,0.476441036,0.571449382,0.577543242,0.571200554,0.575960962,0.574001498,0.573085085,0.573172213,0.55832214,0.552446108,0.506407673,0.730979722,0.862443384,0.997319909,1,1,1,0.813543965,0.499353257,0,1
0,1,Nan,Nan,0.177830166,0.181226404,0.209193575,0,0.514521549,0.538284278,0.570025571,0.574897429,0.562563638,0.57347939,0.574962256,0.574962256,0,0.449423194,0.714971011,0.862483908,1,1,1,1,1,1,1,1
0,1,Nan,Nan,0.430981696,0.230143307,0.181455632,0.184431313,0.168993142,0,0.574962256,0.549388035,0.560909613,0.575752387,0.57404515,0.573220364,0.571949399,0.569032205,0.756005606,0.862267658,0.966603226,0.885237216,0.995908342,1,1,1,1,1
0,2,Nan,Nan,1,0.326885368,0.206727261,0.202921415,0.232124203,0,0.549935304,0.652733851,0.889633938,0.853201187,0.81975545,0.775211088,0.674509422,0.836587045,0.90872591,0.98370654,0.916654697,0.81975545,0.649962617,0.538802134,0,0.223947078,0.207241281,1
0,0,Nan,Nan,0.004527826,0,0.128690256,0.445329345,0.495422365,0.658555574,0.475225625,0.481943538,0.482056047,0.486980857,0.485741248,0.481073668,0.483843901,0.677903197,0.859337789,1,1,1,0.998045639,0.685018312,0.371805746,0.135129628,0.01273932,1
0,0,Nan,Nan,0.001006054,0,0.071120002,0.346722393,0.467923089,0.479021993,0.481362107,0.479546166,0.479410063,0.472255145,0.475099085,0.460491323,0.447032491,0.354670652,0.505453045,0.79003405,0.916158998,0.997249167,1,0.869014971,0.370668024,0.323688743,0.130709038,1
0,0,Nan,Nan,0,0.000383818,0.062074858,0.335533206,0.468188478,0.477180423,0.466613865,0.45898272,0.465017406,0.466989238,0.472999138,0.448767894,0.478067047,0.347974578,0.660122577,0.83137231,0.999531188,1,1,1,0.854863516,0.451493389,0.433977131,1
0,1,Nan,Nan,0.17381739,0.181255331,0.185593864,0,0.57146445,0.574918569,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0,0.431221692,0.616012251,0.800999785,0.969009979,1,1,1,1,1,1,1
0,1,Nan,Nan,0.287481128,0.22614435,0.180863815,0.178029379,0.179974397,0,0,0.528368759,0.55620764,0.573388369,0.573990438,0.574416854,0.517718326,0.559963697,0.613123191,0.78530956,0.862443384,0.862443384,0.866829568,0.999291328,1,1,1,1
0,2,Nan,Nan,1,0.174960672,0.022507588,0.017911839,0,0.17645334,0.43640996,0.573830273,0.626768523,0.873637749,0.557023862,0.583264688,0.584930275,0.593013511,0.794113335,0.814905353,0.791406789,0.58809916,0.574383703,0.405134424,0.17645334,0.033570082,0.022998627,1
0,0,Nan,Nan,0.180301186,0.175991468,0.260860104,0.538078917,0.672187975,0.701125057,0.562145386,0.573037809,0.573830776,0.575896261,0.575526627,0.574552656,0.570759956,0.592624392,0.863046459,1,1,1,1,0.821686616,0.433281899,0,0.234530737,1
0,0,Nan,Nan,0.181079455,0.180724908,0.236479383,0.452477673,0.652752557,0.701562485,0.562148987,0.577057185,0.575177557,0.57171955,0.574642409,0.57382326,0.491406522,0.493457281,0.78444858,0.959848526,1,1,1,0.997033976,0.834264748,0,0.277692193,1
0,0,Nan,Nan,0.180492932,0.181066311,0.24375568,0.469892871,0.629016347,0.612023708,0.568377188,0.573549207,0.573960124,0.574159049,0.573256783,0.554597794,0.573735166,0.498562249,0.72205248,0.862443384,1,1,1,1,0.807220168,0.436337844,0,1
0,0,Nan,Nan,0.001551352,0,0.076573098,0.369235937,0.464180848,0.471777234,0.475626033,0.473426796,0.47795551,0.477668711,0.474061389,0.469165801,0.407443662,0.402512639,0.732091855,0.954233544,1,1,1,1,1,0.745180689,0.36404773,1
0,1,Nan,Nan,0.179993861,0.180580189,0.199750326,0,0.547940458,0.571892069,0.546669056,0.574863629,0.574863629,0.574863629,0.57367111,0.559867894,0.573092081,0.501058528,0.756719075,0.862639985,0.999828465,0.999828465,0.999828465,0.999828465,0.999828465,0.999828465,1,1
1,1,Nan,Nan,0.316090617,0.114025333,0.008194474,0,0.046827575,0.311326552,0.479579446,0.644502745,0.831448553,0.99189329,1,1,0.795029471,0.68228005,0.861009431,1,1,1,1,1,1,1,1,1
0,2,Nan,Nan,0.872043682,0.137719265,0.009863677,0.00395473,0.009171792,0.311672158,0.485892597,0.735896343,0.976246506,0.998386031,0.95613538,0.833530837,0.740852311,0.722211567,0.84027246,1,1,0.996609168,0.796838696,0.464094112,0.410009325,0.134601914,0,1
0,0,Nan,Nan,0.012112026,0.011577385,0.066134813,0.348204778,0.479329596,0.491295978,0.426465527,0.495742877,0.495742877,0.495742718,0.477893601,0.479842251,0.495742877,0.418840885,0.624031919,0.812127912,1,0.742033152,0.800396112,0.476203536,0.329521356,0.142530048,0,1
0,0,Nan,Nan,0.001250384,0,0.073323571,0.359190185,0.470409202,0.474476964,0.472001731,0.477576088,0.478333378,0.479178446,0.480153103,0.480981904,0.381309545,0.389065327,0.694903751,0.834855578,0.999885669,1,1,1,0.700160569,0.326386286,0.130671631,1
0,0,Nan,Nan,0.179440595,0.179911065,0.232203038,0.455561587,0.573697674,0.575351317,0.574338129,0.572581056,0.572937033,0.574886156,0.574213497,0.569469442,0.537211437,0.500096629,0.781951636,0.896435173,1,1,1,0.999992501,0.792106788,0.456842171,0,1
